slug	stars	forks	language	license	size_kb	last_push	archived	local_dir
philshiu/Drosophila_brain_model	244	47	Jupyter Notebook	MIT	189741	2024-09-14	-	Drosophila_brain_model
eonsystemspbc/fly-brain	666	89	Python	GPL-2.0	183275	2026-08-29	-	fly-brain
TuragaLab/flybody	828	97	Python	Apache-2.0	89917	2026-02-07	-	flybody
NeLy-EPFL/flygym	303	33	Python	Apache-2.0	123132	2026-08-24	-	flygym
TuragaLab/flyvis	151	31	Python	MIT	192833	2026-08-18	-	flyvis
abgnydn/webgpu-fly	4	1	TypeScript	MIT	566	2026-09-04	-	webgpu-fly
seven-monarchs/NeuroFly	7	1	Python	NONE	597084	2026-04-05	-	NeuroFly
vaibhavkedarisetti/fruit-fly-lab	10	1	Python	NONE	13926	2026-08-28	-	fruit-fly-lab
caparison1234/chimera	2	0	Python	NONE	89	2026-03-21	-	chimera
ruvnet/Connectome-OS	10	6	Rust	NONE	6875	2026-04-23	-	Connectome-OS
eonfathom/FastFly	8	5	Python	NONE	101027	2026-02-27	-	FastFly
seohyunjun/mps-malecns-model	1	0	Python	NONE	69	2026-09-12	-	mps-malecns-model
dhakalnirajan/axonweave	0	0	Python	NOASSERTION	33822	2026-09-12	-	axonweave
erojasoficial-byte/fly-brain	53	16	Python	MIT	170095	2026-03-21	-	fly-brain-erojasoficial
